position,author_name,link,volgers,favorieten,gelezen,aanhetlezen,wiliklezen,favoriet,recensies,artikelen,newsroom,spots,topics
1,J.K. Rowling,https://www.hebban.nl/auteur/jk-rowling,6456,5907,52196,737,5731,5872,347,49,32,122,2
2,Karin Slaughter,https://www.hebban.nl/auteur/karin-slaughter,6987,2027,41071,748,14856,2027,861,26,6,27,2
3,Stephen King,https://www.hebban.nl/auteur/stephen-king,4311,2243,32951,840,13561,2242,848,43,18,98,
4,Simone van der Vlugt,https://www.hebban.nl/auteur/simone-van-der-vlugt,5477,958,23902,317,7410,957,800,34,4,29,
5,Tess Gerritsen,https://www.hebban.nl/auteur/tess-gerritsen,5017,1118,25750,357,8514,1117,719,29,,19,
6,Dan Brown,https://www.hebban.nl/auteur/dan-brown,4340,1688,26408,462,4131,1687,591,22,8,13,
7,Nicci French,https://www.hebban.nl/auteur/nicci-french,4335,1378,38122,582,9373,1378,772,13,4,25,
8,Esther Verhoef,https://www.hebban.nl/auteur/esther-verhoef,4128,970,17213,254,6006,970,610,41,8,4,2
9,Lars Kepler,https://www.hebban.nl/auteur/lars-kepler,4024,1061,15365,367,6322,1061,428,21,1,13,
10,Saskia Noort,https://www.hebban.nl/auteur/saskia-noort,4505,413,15751,223,3228,413,438,37,14,10,
11,Harlan Coben,https://www.hebban.nl/auteur/harlan-coben,4264,634,17734,377,8175,633,469,11,3,5,
12,Lucinda Riley,https://www.hebban.nl/auteur/lucinda-riley,1063,3465,43761,1832,18362,3465,668,10,7,84,2
13,Camilla Läckberg,https://www.hebban.nl/auteur/camilla-lackberg,3452,830,18676,329,6078,830,438,6,2,9,
14,Jo Nesbø,https://www.hebban.nl/auteur/jo-nesbo,3541,723,12237,303,5933,723,290,14,2,12,
15,Jussi Adler-Olsen,https://www.hebban.nl/auteur/jussi-adler-olsen,3323,888,16629,322,5417,888,398,10,,9,
16,Griet Op de Beeck,https://www.hebban.nl/auteur/griet-op-de-beeck,2985,994,9955,305,3128,996,201,25,13,32,
17,M.J. Arlidge,https://www.hebban.nl/auteur/mj-arlidge,1377,1941,38016,847,16682,1941,697,13,1,17,1
18,Loes den Hollander,https://www.hebban.nl/auteur/loes-den-hollander,2801,405,13143,236,6095,405,627,27,5,7,
19,David Baldacci,https://www.hebban.nl/auteur/david-baldacci,2667,484,14376,342,6163,481,424,16,1,13,
20,Jojo Moyes,https://www.hebban.nl/auteur/jojo-moyes,2128,897,10654,245,5556,897,312,26,1,72,
21,John Green,https://www.hebban.nl/auteur/john-green,2032,729,6618,185,2237,729,306,13,7,55,
22,Carlos Ruiz Zafón,https://www.hebban.nl/auteur/carlos-ruiz-zafon-3,1252,1466,12553,259,4947,1465,244,9,2,17,1
23,Sarah J. Maas,https://www.hebban.nl/auteur/sarah-j-maas,780,1900,10576,450,6496,1901,294,8,2,118,3
24,Khaled Hosseini,https://www.hebban.nl/auteur/khaled-hosseini,1398,1235,15090,137,2448,1235,123,1,,4,
25,Kiera Cass,https://www.hebban.nl/auteur/kiera-cass,1541,1070,8532,147,2701,1070,277,5,,36,
26,James Patterson,https://www.hebban.nl/auteur/james-patterson,2029,447,11702,174,6215,447,418,27,8,12,
27,Cassandra Clare,https://www.hebban.nl/auteur/cassandra-clare,1071,1280,10314,316,5809,1279,203,4,,65,
28,Cilla & Rolf Börjlind,https://www.hebban.nl/auteur/cilla-rolf-borjlind,1898,450,8071,199,3772,451,284,9,,10,
29,Stieg Larsson,https://www.hebban.nl/auteur/stieg-larsson,692,1591,17684,138,1766,1591,204,8,1,8,
30,Haruki Murakami,https://www.hebban.nl/auteur/haruki-murakami,1205,1018,9092,293,3346,1018,293,8,3,22,1
31,Suzanne Collins,https://www.hebban.nl/auteur/suzanne-collins,692,1430,11531,161,1932,1230,205,4,4,29,2
32,Henning Mankell,https://www.hebban.nl/auteur/henning-mankell,1481,515,12130,106,2785,514,408,15,,16,
33,Arthur Japin,https://www.hebban.nl/auteur/arthur-japin,1204,780,9216,218,2873,780,194,15,4,15,
